scenario;median;min;max
Baseline_Prophet_Helsinki_40hosts;0.2047;0.1914;0.2208
Epidemic_Manhattan_100hosts;0.17235;0.159;0.1884
Baseline_Epidemic_Default_100hosts;0.2041;0.1932;0.2205
Epidemic_Helsinki_100hosts;0.28875;0.2635;0.3003
Baseline_Prophet_Helsinki_100hosts;0.20785;0.1993;0.2212
Baseline_Epidemic_Helsinki_40hosts;0.19105;0.175;0.2037
Baseline_Prophet_Manhattan_40hosts;0.1719;0.162;0.1921
Baseline_Epidemic_Manhattan_100hosts;0.17745;0.1679;0.1932
Baseline_Prophet_Default_40hosts;0.2673;0.2597;0.285
Prophet_Helsinki_40hosts;0.2447;0.2242;0.2843
Epidemic_Default_100hosts;0.37644999999999995;0.3672;0.4048
Baseline_Epidemic_Helsinki_100hosts;0.17985;0.1713;0.187
Prophet_Manhattan_40hosts;0.1647;0.1572;0.1873
Baseline_Prophet_Default_100hosts;0.23075;0.2253;0.258
Prophet_Helsinki_100hosts;0.28875;0.2437;0.3017
Baseline_Prophet_Manhattan_100hosts;0.20925;0.1952;0.2314
Baseline_Epidemic_Manhattan_40hosts;0.1685;0.1531;0.1757
Prophet_Default_40hosts;0.3281;0.3178;0.3377
Epidemic_Default_40hosts;0.33425000000000005;0.3254;0.3541
Prophet_Manhattan_100hosts;0.2109;0.1959;0.2314
Epidemic_Manhattan_40hosts;0.16645;0.1572;0.1763
Prophet_Default_100hosts;0.3829;0.3672;0.4048
Baseline_Epidemic_Default_40hosts;0.25425;0.2427;0.2659
Epidemic_Helsinki_40hosts;0.24675;0.2242;0.2693
